namevariant,adamlink,wikidata,preflabel,coords,begin_min,begin_max,end_min,end_max;
searchable,adamlink_url,wikidata_url,canonical_form,geometry,begin_min,begin_max,end_min,end_max;
Akoleienstraat,https://adamlink.nl/geo/street/akoleienstraat/87,http://www.wikidata.org/entity/Q18934226,Akoleienstraat,Point(4.8780416573302 52.373398924502),1625,1692,0,0;
Albardagracht,https://adamlink.nl/geo/street/albardagracht/88,http://www.wikidata.org/entity/Q2636122,Albardagracht,Point(4.7947508489985 52.380379491745),1957,1957,0,0;
Albardakade,https://adamlink.nl/geo/street/albardakade/89,http://www.wikidata.org/entity/Q2627678,Albardakade,Point(4.8031517058924 52.378161389219),2001,2001,0,0;
Albatrospad,https://adamlink.nl/geo/street/albatrospad/90,http://www.wikidata.org/entity/Q18934397,Albatrospad,Point(4.9217893661125 52.388194433732),2004,2004,0,0;
Alberdingk Thijmstraat,https://adamlink.nl/geo/street/alberdingk-thijmstraat/91,http://www.wikidata.org/entity/Q18934491,Alberdingk Thijmstraat,Point(4.8751600640636 52.365322575918),1894,1894,0,0;
Albert Camuslaan,https://adamlink.nl/geo/street/albert-camuslaan/92,http://www.wikidata.org/entity/Q18934585,Albert Camuslaan,Point(4.9417689856835 52.323232734691),1982,1982,0,0;
Albert Cuypstraat,https://adamlink.nl/geo/street/albert-cuypstraat/93,http://www.wikidata.org/entity/Q2565254,Albert Cuypstraat,Point(4.8870261875936 52.354632958631),1883,1883,0,0;
Albert Hahnplantsoen,https://adamlink.nl/geo/street/albert-hahnplantsoen/94,http://www.wikidata.org/entity/Q18934716,Albert Hahnplantsoen,Point(4.8680652914275 52.350551766973),1928,1928,0,0;
Albert Luthulistraat,https://adamlink.nl/geo/street/albert-luthulistraat/95,http://www.wikidata.org/entity/Q18934751,Albert Luthulistraat,Point(4.9199471225837 52.353509204275),1987,1987,0,0;
Albert Neuhuysstraat,https://adamlink.nl/geo/street/albert-neuhuysstraat/96,http://www.wikidata.org/entity/Q18934764,Albert Neuhuysstraat,Point(4.8494087082346 52.355555546518),1922,1922,0,0;
Albert Schultenshof,https://adamlink.nl/geo/street/albert-schultenshof/97,http://www.wikidata.org/entity/Q18934793,Albert Schultenshof,Point(4.8277333908055 52.360955602069),1955,1955,0,0;
Albert Verweystraat,https://adamlink.nl/geo/street/albert-verweystraat/98,http://www.wikidata.org/entity/Q18935156,Albert Verweystraat,Point(4.8196388661558 52.376304119719),1953,1953,0,0;
Albertus Magnushof,https://adamlink.nl/geo/street/albertus-magnushof/99,http://www.wikidata.org/entity/Q18935307,Albertus Magnushof,Point(4.8110283981543 52.373269610419),1954,1954,0,0;
Alblasstraat,https://adamlink.nl/geo/street/alblasstraat/100,http://www.wikidata.org/entity/Q18935376,Alblasstraat,Point(4.8993091559684 52.341836154311),1929,1929,0,0;
Albrecht Dürerstraat,https://adamlink.nl/geo/street/albrecht-durerstraat/101,http://www.wikidata.org/entity/Q18935409,Albrecht Dürerstraat,Point(4.8757779625143 52.349929237039),1928,1928,0,0;
Albrecht Rodenbachhof,https://adamlink.nl/geo/street/albrecht-rodenbachhof/102,http://www.wikidata.org/entity/Q18935415,Albrecht Rodenbachhof,Point(4.8143253447483 52.377231232669),1953,1953,0,0;
Aldebaranplein,https://adamlink.nl/geo/street/aldebaranplein/103,http://www.wikidata.org/entity/Q18935628,Aldebaranplein,Point(4.8923885721243 52.412122782347),1921,1921,0,0;
Aldebaranstraat,https://adamlink.nl/geo/street/aldebaranstraat/104,http://www.wikidata.org/entity/Q18935630,Aldebaranstraat,Point(4.8933210546018 52.41285467148),1921,1921,0,0;
Aldendriel,https://adamlink.nl/geo/street/aldendriel/105,http://www.wikidata.org/entity/Q18935680,Aldendriel,Point(4.885667034179 52.326828033084),1959,1959,0,0;
Aldengoor,https://adamlink.nl/geo/street/aldengoor/106,http://www.wikidata.org/entity/Q18935706,Aldengoor,Point(4.8861260633749 52.324823119779),1959,1959,0,0;
Aletta Jacobslaan,https://adamlink.nl/geo/street/aletta-jacobslaan/107,http://www.wikidata.org/entity/Q18935920,Aletta Jacobslaan,Point(4.8274194652778 52.346814158416),1957,1957,0,0;
Alexander Boersstraat,https://adamlink.nl/geo/street/alexander-boersstraat/108,http://www.wikidata.org/entity/Q18936097,Alexander Boersstraat,Point(4.8780330554647 52.357294922483),1892,1892,0,0;
Alexander Dumaslaan,https://adamlink.nl/geo/street/alexander-dumaslaan/109,http://www.wikidata.org/entity/Q18936124,Alexander Dumaslaan,Point(4.9408487266999 52.322851780204),1982,1982,0,0;
Alexanderkade,https://adamlink.nl/geo/street/alexanderkade/110,http://www.wikidata.org/entity/Q18936220,Alexanderkade,Point(4.9236535727781 52.364889039947),1886,1886,0,0;
Alexanderplein,https://adamlink.nl/geo/street/alexanderplein/111,http://www.wikidata.org/entity/Q18936246,Alexanderplein,Point(4.9188397214296 52.363583108271),1886,1886,0,0;
Alexanderstraat,https://adamlink.nl/geo/street/alexanderstraat/112,http://www.wikidata.org/entity/Q18936261,Alexanderstraat,Point(4.9202320692479 52.364217109814),1886,1886,0,0;
Alexandrine Tinnehof,https://adamlink.nl/geo/street/alexandrine-tinnehof/113,http://www.wikidata.org/entity/Q18936363,Alexandrine Tinnehof,Point(4.9935923905015 52.356833198185),2001,2001,0,0;
Alfred Döblinstraat,https://adamlink.nl/geo/street/alfred-doblinstraat/114,http://www.wikidata.org/entity/Q18936391,Alfred Döblinstraat,Point(4.9422063308689 52.319108992481),1982,1982,0,0;
Algolstraat,https://adamlink.nl/geo/street/algolstraat/115,http://www.wikidata.org/entity/Q18936423,Algolstraat,Point(4.8882244712661 52.409930309365),1935,1935,0,0;
Alkmaarstraat,https://adamlink.nl/geo/street/alkmaarstraat/116,http://www.wikidata.org/entity/Q18936517,Alkmaarstraat,Point(4.9466370209976 52.395862608525),1963,1963,0,0;
Allard Piersonstraat,https://adamlink.nl/geo/street/allard-piersonstraat/117,http://www.wikidata.org/entity/Q18936533,Allard Piersonstraat,Point(4.8721951625282 52.370306893518),1897,1897,0,0;
Allenstraat,https://adamlink.nl/geo/street/allenstraat/118,http://www.wikidata.org/entity/Q18936640,Allenstraat,Point(4.7805961540585 52.350045914824),1997,1997,0,0;
Alma Tademastraat,https://adamlink.nl/geo/street/alma-tademastraat/119,http://www.wikidata.org/entity/Q18936691,Alma Tademastraat,Point(4.8403562027298 52.367487532178),1957,1957,0,0;
Almstraat,https://adamlink.nl/geo/street/almstraat/120,http://www.wikidata.org/entity/Q18936826,Almstraat,Point(4.9009267916336 52.341227231314),1938,1938,0,0;
Alpert van Metzhof,https://adamlink.nl/geo/street/alpert-van-metzhof/121,http://www.wikidata.org/entity/Q18936918,Alpert van Metzhof,Point(4.8249474485459 52.359926784146),1955,1955,0,0;
A.M. de Jongstraat,https://adamlink.nl/geo/street/am-de-jongstraat/122,http://www.wikidata.org/entity/Q18926799,A.M. de Jongstraat,Point(4.8255619736864 52.375927914395),1953,1953,0,0;
Amaliastraat,https://adamlink.nl/geo/street/amaliastraat/123,http://www.wikidata.org/entity/Q18933186,Amaliastraat,Point(4.873808929491 52.379578242234),1897,1897,0,0;
Amandelstraat,https://adamlink.nl/geo/street/amandelstraat/124,http://www.wikidata.org/entity/Q18933274,Amandelstraat,Point(4.8974601981922 52.409562057312),1951,1951,0,0;
Amazonenstraat,https://adamlink.nl/geo/street/amazonenstraat/125,http://www.wikidata.org/entity/Q18933376,Amazonenstraat,Point(4.8598840082207 52.344889254247),1929,1929,0,0;
Ambonplein,https://adamlink.nl/geo/street/ambonplein/126,http://www.wikidata.org/entity/Q18933931,Ambonplein,Point(4.9369292810754 52.35998437377),1923,1923,0,0;
Ambonstraat,https://adamlink.nl/geo/street/ambonstraat/127,http://www.wikidata.org/entity/Q18933946,Ambonstraat,Point(4.9379741464124 52.360526491117),1923,1923,0,0;
Amelandstraat,https://adamlink.nl/geo/street/amelandstraat/128,http://www.wikidata.org/entity/Q18934131,Amelandstraat,Point(4.9261212975361 52.39357356591),1931,1931,0,0;
Amerbos,https://adamlink.nl/geo/street/amerbos/129,http://www.wikidata.org/entity/Q18934224,Amerbos,Point(4.9452738292785 52.402912820509),1966,1966,0,0;
Amerikahavenweg,https://adamlink.nl/geo/street/amerikahavenweg/132,http://www.wikidata.org/entity/Q18934247,Amerikahavenweg,Point(4.7833895576298 52.405784380536),1977,1977,0,0;
Amoebastraat,https://adamlink.nl/geo/street/amoebastraat/133,http://www.wikidata.org/entity/Q18934593,Amoebastraat,Point(4.9053561624742 52.418476552963),1956,1956,0,0;
Ampèrestraat,https://adamlink.nl/geo/street/amperestraat/134,http://www.wikidata.org/entity/Q18934623,Ampèrestraat,Point(4.9409731922537 52.354264411969),1927,1927,0,0;
Amstel,https://adamlink.nl/geo/street/amstel/135,http://www.wikidata.org/entity/Q1947050,Amstel,Point(4.8950337852985 52.366983505455),1913,1913,0,0;
Amstelboulevard,https://adamlink.nl/geo/street/amstelboulevard/136,http://www.wikidata.org/entity/Q18934880,Amstelboulevard,Point(4.9148561745618 52.343714472637),1997,1997,0,0;
Amsteldijk,https://adamlink.nl/geo/street/amsteldijk/137,http://www.wikidata.org/entity/Q2731741,Amsteldijk,Point(4.8945099759315 52.32442050702),1874,1874,0,0;
Amstelhoekstraat,https://adamlink.nl/geo/street/amstelhoekstraat/139,,Amstelhoekstraat,,1900,1920,1975,1975;
Amstelkade,https://adamlink.nl/geo/street/amstelkade/140,http://www.wikidata.org/entity/Q2659413,Amstelkade,Point(4.8864228136732 52.347423641614),1922,1922,0,0;
Amstelpark,https://adamlink.nl/geo/street/amstelpark/142,http://www.wikidata.org/entity/Q18935055,Amstelpark,Point(4.8932025993438 52.328540450657),1971,1971,0,0;
Amstelplein,https://adamlink.nl/geo/street/amstelplein/143,http://www.wikidata.org/entity/Q18935068,Amstelplein,Point(4.9176926223059 52.34469339758),1939,1939,0,0;
Amstelstraat,https://adamlink.nl/geo/street/amstelstraat/144,http://www.wikidata.org/entity/Q2509798,Amstelstraat,Point(4.8981239897125 52.366244605411),1592,1592,0,0;
Amstelveenseweg,https://adamlink.nl/geo/street/amstelveenseweg/145,http://www.wikidata.org/entity/Q2225886,Amstelveenseweg,Point(4.8575061288472 52.32164763193),1896,1896,0,0;
Amstelveld,https://adamlink.nl/geo/street/amstelveld/146,,Amstelveld,Point(4.8962438243301 52.361788691824),1662,1662,0,0;
Amundsenweg,https://adamlink.nl/geo/street/amundsenweg/149,http://www.wikidata.org/entity/Q18935351,Amundsenweg,Point(4.8433662799717 52.374120977972),1939,1939,0,0;
Analoogstraat,https://adamlink.nl/geo/street/analoogstraat/150,http://www.wikidata.org/entity/Q18935369,Analoogstraat,Point(4.8805995268702 52.410162564703),2001,2001,0,0;
Ananasplein,https://adamlink.nl/geo/street/ananasplein/151,http://www.wikidata.org/entity/Q18935373,Ananasplein,Point(4.8971799695015 52.410620514088),1951,1951,0,0;
Anatole Francesingel,https://adamlink.nl/geo/street/anatole-francesingel/152,http://www.wikidata.org/entity/Q18935396,Anatole Francesingel,Point(4.9429675856898 52.323650678405),1982,1982,0,0;
Anderiesenhof,https://adamlink.nl/geo/street/anderiesenhof/154,http://www.wikidata.org/entity/Q18935437,Anderiesenstraat,Point(4.8006784117163 52.3749934069),1955,1955,0,0;
Anderiesenstraat,https://adamlink.nl/geo/street/anderiesenhof/154,http://www.wikidata.org/entity/Q18935437,Anderiesenstraat,Point(4.8006784117163 52.3749934069),1955,1955,0,0;
Anderlechtlaan,https://adamlink.nl/geo/street/anderlechtlaan/155,http://www.wikidata.org/entity/Q18935438,Anderlechtlaan,Point(4.8138800286341 52.337544384554),1991,1991,0,0;
